,Name,Single accuracy,Cross accuracy,STD,Cross accuracy-STD*2,Cross accuracy-STD*3,Overfitting danger,Time sec
0,Log,0.845,0.843,0.015,0.814,0.799,0.002,0
1,KNN 14,0.854,0.831,0.015,0.8,0.785,0.02,9
2,SVM rbf,0.873,0.849,0.023,0.802,0.779,0.022,0
3,SVM poly,0.87,0.824,0.027,0.769,0.742,0.04,0
4,NB,0.788,0.794,0.049,0.697,0.648,-0.005,0
5,RF 10,0.9,0.853,0.016,0.821,0.804,0.042,10
6,RF 9,0.896,0.853,0.012,0.829,0.816,0.038,9
7,RF 8,0.893,0.852,0.014,0.825,0.811,0.037,10
8,RF 7,0.886,0.854,0.015,0.824,0.809,0.028,9
9,RF 6,0.878,0.859,0.016,0.827,0.811,0.017,8
10,XGB,0.893,0.847,0.033,0.781,0.748,0.041,3
11,Grid Log,0.845,0.843,0.015,0.814,0.799,0.002,9
12,Grid KNN,0.861,0.838,0.019,0.8,0.781,0.019,3
13,Grid SVM,0.874,0.856,0.027,0.802,0.774,0.016,10
14,Grid RF,0.878,0.859,0.016,0.827,0.811,0.017,33
15,Grid XGB,0.886,0.858,0.022,0.814,0.793,0.025,12
16,Voting soft - part of grid,0.868,0.844,0.019,0.807,0.788,0.02,15
17,Voting hard - part of grid,0.872,0.853,0.022,0.809,0.787,0.017,13
18,Ensemble RF - part of grid,0.881,0.877,0.019,0.839,0.821,0.004,30
19,Ensemble Log - part of grid,0.88,0.88,0.018,0.843,0.825,-0.0,1
