,Features options,Name,CV folds,Train acc,Cross acc,Cross acc STD,Cross acc - 3*STD,Train - Cross acc-STD*3,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Classifier options
0,"{'Family size': 'Bin', 'Fare': 'Num', 'Age': 'Bin'}",Log,5,84.4,83.5,2.3,76.5,7.9,67,0.9,0.88,0.79,0.86,0.82,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
1,"{'Family size': 'Bin', 'Fare': 'Num', 'Age': 'Num'}",Log,5,84.2,83.8,2.2,77.1,7.1,64,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
2,"{'Family size': 'Bin', 'Fare': 'Num', 'Age': 'Bin+Num'}",Log,5,84.2,83.4,2.3,76.5,7.6,63,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
3,"{'Family size': 'Bin', 'Fare': 'Log', 'Age': 'Bin'}",Log,5,84.2,83.5,2.1,77.2,6.9,62,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
4,"{'Family size': 'Bin', 'Fare': 'Log', 'Age': 'Num'}",Log,5,84.3,83.7,2.2,77.2,7.1,60,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
5,"{'Family size': 'Bin', 'Fare': 'Log', 'Age': 'Bin+Num'}",Log,5,84.3,83.4,2.2,76.9,7.4,58,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
6,"{'Family size': 'Bin', 'Fare': '13.5+', 'Age': 'Bin'}",Log,5,84.5,83.4,2.2,76.8,7.7,57,0.9,0.88,0.79,0.86,0.82,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
7,"{'Family size': 'Bin', 'Fare': '13.5+', 'Age': 'Num'}",Log,5,84.1,83.7,2.1,77.4,6.6,57,0.9,0.87,0.79,0.86,0.8,0.88,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
8,"{'Family size': 'Bin', 'Fare': '13.5+', 'Age': 'Bin+Num'}",Log,5,84.6,83.5,2.3,76.6,8.0,60,0.9,0.88,0.79,0.86,0.82,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
9,"{'Family size': 'Bin', 'Fare': 'Log+13.5', 'Age': 'Bin'}",Log,5,84.5,83.5,2.2,77.0,7.5,60,0.9,0.88,0.79,0.86,0.82,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
10,"{'Family size': 'Bin', 'Fare': 'Log+13.5', 'Age': 'Num'}",Log,5,84.2,83.6,2.0,77.5,6.7,59,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
11,"{'Family size': 'Bin', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,5,85.0,83.3,2.2,76.8,8.1,59,0.9,0.88,0.8,0.87,0.82,0.89,0.78,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
12,"{'Family size': 'Bin', 'Fare': 'Num+13.5', 'Age': 'Bin'}",Log,5,84.3,83.4,2.2,76.9,7.4,58,0.9,0.88,0.79,0.86,0.82,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
13,"{'Family size': 'Bin', 'Fare': 'Num+13.5', 'Age': 'Num'}",Log,5,84.1,83.6,2.1,77.4,6.7,107,0.9,0.87,0.79,0.86,0.8,0.88,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
14,"{'Family size': 'Bin', 'Fare': 'Num+13.5', 'Age': 'Bin+Num'}",Log,5,84.5,83.5,2.2,76.8,7.7,63,0.9,0.88,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
15,"{'Family size': 'Num', 'Fare': 'Num', 'Age': 'Bin'}",Log,5,84.1,83.9,2.1,77.6,6.4,62,0.89,0.87,0.79,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
16,"{'Family size': 'Num', 'Fare': 'Num', 'Age': 'Num'}",Log,5,84.2,83.9,2.3,77.1,7.1,67,0.89,0.87,0.79,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
17,"{'Family size': 'Num', 'Fare': 'Num', 'Age': 'Bin+Num'}",Log,5,84.3,83.9,2.2,77.4,6.9,74,0.9,0.88,0.79,0.86,0.82,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
18,"{'Family size': 'Num', 'Fare': 'Log', 'Age': 'Bin'}",Log,5,84.2,84.0,2.1,77.6,6.6,102,0.9,0.87,0.79,0.86,0.82,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
19,"{'Family size': 'Num', 'Fare': 'Log', 'Age': 'Num'}",Log,5,84.3,84.0,2.3,77.0,7.3,65,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
20,"{'Family size': 'Num', 'Fare': 'Log', 'Age': 'Bin+Num'}",Log,5,84.5,84.0,2.2,77.6,7.0,63,0.9,0.88,0.79,0.86,0.82,0.9,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
21,"{'Family size': 'Num', 'Fare': '13.5+', 'Age': 'Bin'}",Log,5,84.1,83.6,2.2,76.9,7.2,66,0.9,0.87,0.79,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
22,"{'Family size': 'Num', 'Fare': '13.5+', 'Age': 'Num'}",Log,5,84.1,83.8,2.3,76.9,7.2,63,0.9,0.87,0.79,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
23,"{'Family size': 'Num', 'Fare': '13.5+', 'Age': 'Bin+Num'}",Log,5,84.0,83.7,2.2,77.1,6.8,72,0.9,0.87,0.78,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
24,"{'Family size': 'Num', 'Fare': 'Log+13.5', 'Age': 'Bin'}",Log,5,84.0,83.8,2.2,77.3,6.6,67,0.9,0.87,0.78,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
25,"{'Family size': 'Num', 'Fare': 'Log+13.5', 'Age': 'Num'}",Log,5,84.2,84.0,2.3,77.1,7.1,65,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
26,"{'Family size': 'Num', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",Log,5,84.3,83.7,2.1,77.2,7.0,64,0.9,0.88,0.79,0.86,0.82,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
27,"{'Family size': 'Num', 'Fare': 'Num+13.5', 'Age': 'Bin'}",Log,5,83.8,83.6,2.1,77.5,6.4,70,0.9,0.87,0.78,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
28,"{'Family size': 'Num', 'Fare': 'Num+13.5', 'Age': 'Num'}",Log,5,84.2,83.7,2.3,76.9,7.2,58,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
29,"{'Family size': 'Num', 'Fare': 'Num+13.5', 'Age': 'Bin+Num'}",Log,5,84.3,83.8,2.0,77.8,6.5,66,0.9,0.88,0.79,0.86,0.82,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
30,"{'Family size': 'Both', 'Fare': 'Num', 'Age': 'Bin'}",Log,5,84.2,83.4,2.2,76.8,7.4,68,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
31,"{'Family size': 'Both', 'Fare': 'Num', 'Age': 'Num'}",Log,5,84.2,83.7,2.3,76.8,7.4,64,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
32,"{'Family size': 'Both', 'Fare': 'Num', 'Age': 'Bin+Num'}",Log,5,84.3,83.4,2.2,76.9,7.4,69,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
33,"{'Family size': 'Both', 'Fare': 'Log', 'Age': 'Bin'}",Log,5,84.2,83.5,2.1,77.3,6.9,60,0.9,0.87,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
34,"{'Family size': 'Both', 'Fare': 'Log', 'Age': 'Num'}",Log,5,83.8,83.7,2.3,76.9,6.9,59,0.9,0.87,0.78,0.86,0.81,0.89,0.76,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
35,"{'Family size': 'Both', 'Fare': 'Log', 'Age': 'Bin+Num'}",Log,5,84.5,83.5,2.2,77.0,7.5,59,0.9,0.88,0.79,0.86,0.81,0.89,0.77,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
