,KNN 9_Bag 0.5 Feat 0.75 replace True,KNN 9_Bag 0.5 Feat 0.75 replace False,KNN 9_Bag 0.5 Feat 0.9 replace True,KNN 9_Bag 0.5 Feat 0.9 replace False,KNN 9_Bag 0.5 Feat 0.95 replace True,KNN 9_Bag 0.5 Feat 0.95 replace False,KNN 9_Bag 0.5 Feat 1.0 replace True,KNN 9_Bag 0.5 Feat 1.0 replace False,KNN 9_Bag 0.75 Feat 0.75 replace True,KNN 9_Bag 0.75 Feat 0.75 replace False,KNN 9_Bag 0.75 Feat 0.9 replace True,KNN 9_Bag 0.75 Feat 0.9 replace False,KNN 9_Bag 0.75 Feat 0.95 replace True,KNN 9_Bag 0.75 Feat 0.95 replace False,KNN 9_Bag 0.75 Feat 1.0 replace True,KNN 9_Bag 0.75 Feat 1.0 replace False,KNN 9_Bag 0.9 Feat 0.75 replace True,KNN 9_Bag 0.9 Feat 0.75 replace False,KNN 9_Bag 0.9 Feat 0.9 replace True,KNN 9_Bag 0.9 Feat 0.9 replace False,KNN 9_Bag 0.9 Feat 0.95 replace True,KNN 9_Bag 0.9 Feat 0.95 replace False,KNN 9_Bag 0.9 Feat 1.0 replace True,KNN 9_Bag 0.9 Feat 1.0 replace False
KNN 9_Bag 0.5 Feat 0.75 replace True,1.0,0.9799975007618096,0.9898496879628956,0.9442531149899053,0.9746452545932949,0.9389984885065825,0.9543556965648053,0.8930618659121929,0.9595523413353584,0.9395904066112668,0.9288635036696554,0.9238133039456233,0.9134931427963968,0.9186338911144212,0.9083903935409323,0.9032775043542948,0.9595523413353584,0.9339244196806008,0.9238133039456233,0.9238133039456233,0.9134931427963968,0.9134931427963968,0.8930618659121927,0.8931363832043102
KNN 9_Bag 0.5 Feat 0.75 replace False,0.9799975007618096,1.0,0.9698941845620704,0.9446129889806848,0.9549932891400951,0.9599477901437851,0.9451204576110153,0.9146154371784977,0.9402016415393745,0.9206380877838704,0.9096548928674476,0.9047048313762855,0.894278756890152,0.8994726433101387,0.8891225060160347,0.8841104167459793,0.9402016415393745,0.934952117466843,0.9047048313762855,0.9047048313762855,0.8942787568901521,0.8942787568901521,0.8739420766018063,0.8738618029634648
KNN 9_Bag 0.5 Feat 0.9 replace True,0.9898496879628956,0.9698941845620704,1.0,0.9543912481982114,0.9746452545932949,0.9491740353449346,0.9543556965648053,0.903277504354295,0.9595523413353584,0.9498790606327874,0.9390931162248899,0.9340572014692138,0.9237087812384988,0.9288635036696554,0.9185923652355,0.9134931427963969,0.9595523413353584,0.9339244196806008,0.9340572014692138,0.9340572014692138,0.9237087812384989,0.9237087812384989,0.9032775043542948,0.9033249921279333
KNN 9_Bag 0.5 Feat 0.9 replace False,0.9442531149899053,0.9446129889806848,0.9543912481982114,1.0,0.9493251754221378,0.9442178408380583,0.9290447121372762,0.9188413309057105,0.9342265082462904,0.9450762641085679,0.9648785239799604,0.959910710133277,0.9494514746004068,0.9546611854020703,0.9442808981984806,0.9392480933688415,0.9342265082462904,0.9290447121372759,0.9599107101332768,0.9599107101332768,0.9494514746004068,0.9494514746004068,0.9290447121372759,0.9289724071333523
KNN 9_Bag 0.5 Feat 0.95 replace True,0.9746452545932949,0.9549932891400951,0.9746452545932949,0.9493251754221378,1.0,0.9540503152752443,0.9795442091330847,0.9180191183115034,0.9333752524235589,0.9438519582392502,0.9333752524235589,0.9282336066716412,0.9282733001151005,0.9231070437828325,0.9232096321125371,0.9180191183115036,0.9333752524235589,0.9180191183115034,0.9282336066716412,0.9282336066716412,0.9282733001151005,0.9180191183115034,0.9077649365079065,0.8977294969661366
KNN 9_Bag 0.5 Feat 0.95 replace False,0.9389984885065825,0.9599477901437851,0.9491740353449346,0.9442178408380583,0.9540503152752443,1.0,0.9540333212686324,0.954033321268632,0.9079149092032895,0.9183368432787752,0.9079149092032895,0.902770540373315,0.892587107356414,0.8976598646969264,0.8977789485478156,0.8925871073564141,0.9079149092032895,0.9130691786604866,0.902770540373315,0.902770540373315,0.8925871073564141,0.892587107356414,0.8823460717043777,0.8825527427290046
KNN 9_Bag 0.5 Feat 1.0 replace True,0.9543556965648053,0.9451204576110153,0.9543556965648053,0.9290447121372762,0.9795442091330847,0.9540333212686324,1.0,0.9177489177489174,0.9125019301373528,0.9226734859832764,0.9125019301373528,0.9072647087265517,0.9074675324675319,0.9022064808068245,0.9127383180467498,0.9074675324675321,0.9125019301373528,0.9074675324675321,0.9072647087265518,0.9072647087265518,0.9074675324675319,0.8971861471861466,0.8971861471861465,0.8872565729007126
KNN 9_Bag 0.5 Feat 1.0 replace False,0.8930618659121929,0.9146154371784977,0.903277504354295,0.9188413309057105,0.9180191183115034,0.954033321268632,0.9177489177489174,1.0,0.9022064808068248,0.9123186152014205,0.9022064808068248,0.8969548824910223,0.9074675324675322,0.9022064808068249,0.9230059486227641,0.9074675324675322,0.9022064808068248,0.9074675324675322,0.8969548824910226,0.8969548824910226,0.9074675324675322,0.8971861471861468,0.9074675324675321,0.8872565729007127
KNN 9_Bag 0.75 Feat 0.75 replace True,0.9595523413353584,0.9402016415393745,0.9595523413353584,0.9342265082462904,0.9333752524235589,0.9079149092032895,0.9125019301373528,0.9022064808068248,1.0,0.979476939967841,0.9690714021457641,0.9638795706874254,0.953683727459466,0.9587618695276859,0.9383628001724704,0.9433882781289378,1.0,0.9742746261205224,0.9638795706874255,0.9638795706874255,0.9536837274594658,0.9536837274594658,0.9330928287984094,0.9333752524235591
KNN 9_Bag 0.75 Feat 0.75 replace False,0.9395904066112668,0.9206380877838704,0.9498790606327874,0.9450762641085679,0.9438519582392502,0.9183368432787752,0.9226734859832764,0.9123186152014205,0.979476939967841,1.0,0.979476939967841,0.9741624996623489,0.9640929691107001,0.9691079046150094,0.9487760103613913,0.9537380983288442,0.979476939967841,0.9640929691106997,0.974162499662349,0.974162499662349,0.9640929691106999,0.9640929691106999,0.9433832275469883,0.9438519582392498
KNN 9_Bag 0.75 Feat 0.9 replace True,0.9288635036696554,0.9096548928674476,0.9390931162248899,0.9648785239799604,0.9333752524235589,0.9079149092032895,0.9125019301373528,0.9022064808068248,0.9690714021457641,0.979476939967841,1.0,0.994851358255765,0.9845700754510506,0.9896904673819216,0.9692078276021872,0.9742746261205224,0.9690714021457641,0.963979176789994,0.994851358255765,0.994851358255765,0.9845700754510506,0.9845700754510506,0.963979176789994,0.9641798783457387
KNN 9_Bag 0.75 Feat 0.9 replace False,0.9238133039456233,0.9047048313762855,0.9340572014692138,0.959910710133277,0.9282336066716412,0.902770540373315,0.9072647087265517,0.8969548824910223,0.9638795706874254,0.9741624996623489,0.994851358255765,1.0,0.9897433186107846,0.994851358255765,0.9743791685303039,0.9794334923752557,0.9638795706874254,0.9588138399041972,0.9896616541353386,0.9896616541353386,0.9794334923752558,0.9794334923752558,0.9691236661397267,0.95908124918943
KNN 9_Bag 0.75 Feat 0.95 replace True,0.9134931427963968,0.894278756890152,0.9237087812384988,0.9494514746004068,0.9282733001151005,0.892587107356414,0.9074675324675319,0.9074675324675322,0.953683727459466,0.9640929691107001,0.9845700754510506,0.9897433186107846,1.0,0.9948655247815787,0.9846117320788503,0.9897186147186146,0.953683727459466,0.9485930735930734,0.9794334923752558,0.9794334923752558,0.9897186147186146,0.9794372294372293,0.9794372294372293,0.9590358455258909
KNN 9_Bag 0.75 Feat 0.95 replace False,0.9186338911144212,0.8994726433101387,0.9288635036696554,0.9546611854020703,0.9231070437828325,0.8976598646969264,0.9022064808068245,0.9022064808068249,0.9587618695276859,0.9691079046150094,0.9896904673819216,0.994851358255765,0.9948655247815787,1.0,0.979489503412093,0.9845700754510507,0.9587618695276859,0.9536837274594656,0.9845274290663185,0.9845274290663185,0.9845700754510506,0.9845700754510506,0.9742746261205224,0.9641798783457389
KNN 9_Bag 0.75 Feat 1.0 replace True,0.9083903935409323,0.8891225060160347,0.9185923652355,0.9442808981984806,0.9232096321125371,0.8977789485478156,0.9127383180467498,0.9230059486227641,0.9383628001724704,0.9487760103613913,0.9692078276021872,0.9743791685303039,0.9846117320788503,0.979489503412093,1.0,0.9846117320788503,0.9383628001724704,0.9332735791987785,0.964083135049196,0.964083135049196,0.9743441015028359,0.9640764709268216,0.9846117320788503,0.9539310225877816
