,Features options,Name,Type,Train acc,OOB acc,Train acc - OOB acc,Time sec,Train auc,Train f1 died,Train f1 survived,Train precision died,Train precision survived,Train recall died,Train recall survived,Num features,Features,Classifier options
0,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.5 Feat 0.75 replace True,85.3,84.5,0.8,88,0.92,0.89,0.79,0.85,0.86,0.93,0.74,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
1,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.5 Feat 0.75 replace False,85.6,,,107,0.91,0.89,0.8,0.86,0.85,0.92,0.76,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
2,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.5 Feat 0.9 replace True,85.6,83.8,1.8,127,0.91,0.89,0.8,0.85,0.87,0.93,0.74,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.9, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
3,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.5 Feat 0.9 replace False,85.7,,,136,0.91,0.89,0.8,0.86,0.86,0.92,0.75,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.9, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
4,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.5 Feat 0.95 replace True,85.1,83.5,1.6,156,0.91,0.88,0.79,0.84,0.87,0.93,0.72,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.95, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
5,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.5 Feat 0.95 replace False,85.1,,,164,0.91,0.88,0.79,0.85,0.85,0.92,0.74,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.95, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
6,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.5 Feat 1.0 replace True,85.1,83.4,1.7,184,0.91,0.88,0.79,0.84,0.87,0.93,0.72,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
7,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.5 Feat 1.0 replace False,85.2,,,193,0.91,0.88,0.79,0.85,0.86,0.92,0.74,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.5, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
8,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.75 Feat 0.75 replace True,86.4,84.7,1.7,213,0.93,0.89,0.81,0.86,0.88,0.93,0.75,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': True, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
9,"{'Family size': 'Both', 'Fare': 'Log+13.5', 'Age': 'Bin+Num'}",KNN 9,Bag 0.75 Feat 0.75 replace False,86.2,,,222,0.93,0.89,0.81,0.85,0.88,0.94,0.74,16,"['Sex', 'Age', 'Fare 13.5+', 'Title_Master', 'Title_Mr', 'Title_Mrs', 'SibSpBin_5+', 'ParchBin_3', 'Family size bin_1', 'Family size bin_567', 'Family size bin_8+', 'DeckBin_DE', 'DeckBin_unknown_T', 'Pclass_3', 'Known family/ticket survived %', 'Age Bin_42+']","{'base_estimator__algorithm': 'auto', 'base_estimator__leaf_size': 30, 'base_estimator__metric': 'minkowski', 'base_estimator__metric_params': None, 'base_estimator__n_jobs': -1, 'base_estimator__n_neighbors': 9, 'base_estimator__p': 2, 'base_estimator__weights': 'uniform', 'base_estimator': KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=-1, n_neighbors=9, p=2,
                     weights='uniform'), 'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.75, 'n_estimators': 100, 'n_jobs': -1, 'oob_score': False, 'random_state': 50, 'verbose': 0, 'warm_start': False}"
