,Log,KNN 14,SVM rbf,SVM poly,NB,RF 10,RF 9,RF 8,RF 7,RF 6,XGB,Grid Log,Grid KNN,Grid SVM,Grid RF,Grid XGB,Voting soft - part of grid,Voting hard - part of grid,Ensemble RF - part of grid,Ensemble Log - part of grid
Log,1.0,0.8683077035581205,0.8925163467304391,0.8409129488878595,0.6632327283414342,0.8359856638827278,0.8459732266242043,0.8664201338412026,0.9231070437828333,0.9335244853701845,0.8304274631819376,1.0,0.8732759401763747,0.8978588603663283,0.9335244853701845,0.8922145938939274,0.9592297165151941,0.9438519582392492,0.8923158750139809,0.9179510591657114
KNN 14,0.8683077035581205,1.0,0.9314328897895957,0.8869620786549037,0.6324495571998596,0.8563281408179553,0.8656043275988229,0.8856713420410902,0.8821487679458478,0.8904539122738591,0.8384062146541011,0.8683077035581205,0.9510615635838202,0.9257049490209127,0.8904539122738591,0.879792542678005,0.9069624980666925,0.9011152818697136,0.9108294718368547,0.8868343111073786
SVM rbf,0.8925163467304391,0.9314328897895957,1.0,0.9258111569853784,0.636932271795166,0.9229520702658482,0.9327540587258467,0.9531899399279365,0.9487015581095182,0.9477501491775818,0.8749334649942268,0.8925163467304391,0.936670428930587,0.9947255818245392,0.9477501491775818,0.9162681040113961,0.9217545258560443,0.9372561341221866,0.9790031904909804,0.9536507891657332
SVM poly,0.8409129488878595,0.8869620786549037,0.9258111569853784,1.0,0.6164095025821265,0.871200096759653,0.8807064432738033,0.9009100212420135,0.8969432352065674,0.8846807000557155,0.8328461412522081,0.8409129488878595,0.9139934491016986,0.9309151836712217,0.8846807000557155,0.8529865710419201,0.8798118987209105,0.8741159903844504,0.9263261061871617,0.8912251955821764
NB,0.6632327283414342,0.6324495571998596,0.636932271795166,0.6164095025821265,1.0,0.642706316934024,0.6322902129050656,0.6422486205043181,0.6476363949889492,0.6166818376936324,0.6474217269240529,0.6632327283414342,0.6271000971563817,0.6318006902099081,0.6166818376936324,0.6472756195691644,0.6626142648201125,0.6268797649854763,0.6471992511499135,0.6424437783677747
RF 10,0.8359856638827278,0.8563281408179553,0.9229520702658482,0.871200096759653,0.642706316934024,1.0,0.9897433186107856,0.969195189488743,0.9125019301373533,0.8812540028558529,0.8710634178239843,0.8359856638827278,0.8719527903093642,0.9283046675873784,0.8812540028558529,0.8812540028558524,0.8657998576510907,0.8708991320739968,0.9435346106358474,0.9072647087265521
RF 9,0.8459732266242043,0.8656043275988229,0.9327540587258467,0.8807064432738033,0.6322902129050656,0.9897433186107856,1.0,0.9793174776872823,0.9225838539296398,0.8910943795361022,0.8809529794906146,0.8459732266242043,0.8813098719227066,0.9380832291576183,0.8910943795361022,0.8910943795361024,0.8756361277877633,0.8807108645203213,0.9534702395777855,0.9172932330827076
RF 8,0.8664201338412026,0.8856713420410902,0.9531899399279365,0.9009100212420135,0.6422486205043181,0.969195189488743,0.9793174776872823,1.0,0.9431753689212182,0.9114993633744172,0.8909929051079748,0.8664201338412026,0.9014398548921279,0.9585132377438678,0.9114993633744172,0.9010859290820127,0.8960199004975121,0.9010859290820126,0.9740095428982373,0.9378449377274745
RF 7,0.9231070437828333,0.8821487679458478,0.9487015581095182,0.8969432352065674,0.6476363949889492,0.9125019301373533,0.9225838539296398,0.9431753689212182,1.0,0.9691079046150103,0.8656510876855334,0.9231070437828333,0.8977736372938322,0.9540764722940036,0.9691079046150103,0.9068936924980195,0.9535290456954466,0.9587388692621784,0.9692844455059815,0.9948513582557659
RF 6,0.9335244853701845,0.8904539122738591,0.9477501491775818,0.8846807000557155,0.6166818376936324,0.8812540028558529,0.8910943795361022,0.9114993633744172,0.9691079046150103,1.0,0.8440793598113995,0.9335244853701845,0.9169060073379075,0.9530450023350676,1.0,0.9269978293954748,0.9531531005440362,0.9895711184850677,0.9372900863923775,0.9741624996623494
